Match,Home,HG,AG,Away
1,Paraguay,0,0,Peru
1,Colombia,1,0,Venezuela
1,Argentina,1,0,Ecuador
1,Uruguay,3,1,Chile
1,Brazil,5,1,Bolivia
2,Bolivia,0,3,Argentina
2,Ecuador,2,1,Uruguay
2,Venezuela,1,0,Paraguay
2,Chile,0,0,Colombia
2,Peru,0,1,Brazil
3,Colombia,2,2,Uruguay
3,Bolivia,1,2,Ecuador
3,Argentina,1,0,Paraguay
3,Chile,2,0,Peru
3,Brazil,1,1,Venezuela
4,Venezuela,3,0,Chile
4,Paraguay,1,0,Bolivia
4,Ecuador,0,0,Colombia
4,Uruguay,2,0,Brazil
4,Peru,0,2,Argentina
5,Bolivia,2,0,Peru
5,Venezuela,0,0,Ecuador
5,Colombia,2,1,Brazil
5,Argentina,0,2,Uruguay
5,Chile,0,0,Paraguay
6,Paraguay,0,1,Colombia
6,Uruguay,3,0,Bolivia
6,Ecuador,1,0,Chile
6,Brazil,0,1,Argentina
6,Peru,1,1,Venezuela
7,Bolivia,4,0,Venezuela
7,Argentina,3,0,Chile
7,Uruguay,0,0,Paraguay
7,Brazil,1,0,Ecuador
7,Peru,1,1,Colombia
8,Colombia,2,1,Argentina
8,Chile,1,2,Bolivia
8,Ecuador,1,0,Peru
8,Venezuela,0,0,Uruguay
8,Paraguay,1,0,Brazil
9,Bolivia,1,0,Colombia
9,Ecuador,0,0,Paraguay
9,Venezuela,1,1,Argentina
9,Chile,1,2,Brazil
9,Peru,1,0,Uruguay
10,Colombia,4,0,Chile
10,Paraguay,2,1,Venezuela
10,Uruguay,0,0,Ecuador
10,Argentina,6,0,Bolivia
10,Brazil,4,0,Peru
11,Venezuela,1,1,Brazil
11,Paraguay,2,1,Argentina
11,Ecuador,4,0,Bolivia
11,Uruguay,3,2,Colombia
11,Peru,0,0,Chile
12,Bolivia,2,2,Paraguay
12,Colombia,0,1,Ecuador
12,Argentina,1,0,Peru
12,Chile,4,2,Venezuela
12,Brazil,1,1,Uruguay
13,Uruguay,,,Argentina
13,Peru,,,Bolivia
13,Brazil,,,Colombia
13,Paraguay,,,Chile
13,Ecuador,,,Venezuela
14,Colombia,,,Paraguay
14,Venezuela,,,Peru
14,Bolivia,,,Uruguay
14,Argentina,,,Brazil
14,Chile,,,Ecuador
15,Colombia,,,Peru
15,Venezuela,,,Bolivia
15,Paraguay,,,Uruguay
15,Chile,,,Argentina
15,Ecuador,,,Brazil
16,Uruguay,,,Venezuela
16,Peru,,,Ecuador
16,Brazil,,,Paraguay
16,Bolivia,,,Chile
16,Argentina,,,Colombia
17,Uruguay,,,Peru
17,Colombia,,,Bolivia
17,Brazil,,,Chile
17,Paraguay,,,Ecuador
17,Argentina,,,Venezuela
18,Peru,,,Paraguay
18,Venezuela,,,Colombia
18,Bolivia,,,Brazil
18,Chile,,,Uruguay
18,Ecuador,,,Argentina
